Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
3.28,0.36408204102051,0,0.210934416358348,1,0,0,0
3.29,0.364582291145573,0,0.211082256091766,1,0,0,0
3.3,0.365082541270635,0,0.211231870065591,1,0,0,0
3.31,0.365582791395698,0,0.211383276207737,1,0,0,0
3.32,0.36608304152076,0,0.211536492579715,1,0,0,0
3.33,0.366583291645823,0,0.211691537376976,1,0,0,0
3.34,0.367083541770885,0,0.211848428929257,1,0,0,0
3.35,0.367583791895948,0,0.2120071857009,1,0,0,0
3.36,0.368084042021011,0,0.212167826291178,1,0,0,0
3.37,0.368584292146073,0,0.212330369434601,1,0,0,0
3.38,0.369084542271136,0,0.212494834001219,1,0,0,0
3.39,0.369584792396198,0,0.212661238996913,1,0,0,0
3.4,0.370085042521261,0,0.212829603563674,1,0,0,0
3.41,0.370585292646323,0,0.212999946979876,1,0,0,0
3.42,0.371085542771386,0,0.213172288660536,1,0,0,0
3.43,0.371585792896448,0,0.213346648157565,1,0,0,0
3.44,0.372086043021511,0,0.213523045160011,1,0,0,0
3.45,0.372586293146573,0,0.213701499494284,1,0,0,0
3.46,0.373086543271636,0,0.213882031124378,1,0,0,0
3.47,0.373586793396698,0,0.214064660152078,1,0,0,0
3.48,0.374087043521761,0,0.214249406817158,1,0,0,0
3.49,0.374587293646823,0,0.214436291497565,1,0,0,0
3.5,0.375087543771886,0,0.214625334709594,1,0,0,0
3.51,0.375587793896949,0,0.21481655710805,1,0,0,0
3.52,0.376088044022011,0,0.215009979486399,1,0,0,0
3.53,0.376588294147074,0,0.215205622776906,1,0,0,0
3.54,0.377088544272136,0,0.215403508050762,1,0,0,0
3.55,0.377588794397199,0,0.215603656518198,1,0,0,0
3.56,0.378089044522261,0,0.215806089528589,1,0,0,0
3.57,0.378589294647324,0,0.216010828570536,1,0,0,0
3.58,0.379089544772386,0,0.216217895271951,1,0,0,0
3.59,0.379589794897449,0,0.216427311400113,1,0,0,0
3.6,0.380090045022511,0,0.216639098861724,1,0,0,0
3.61,0.380590295147574,0,0.216853279702938,1,0,0,0
3.62,0.381090545272636,0,0.21706987610939,1,0,0,0
3.63,0.381590795397699,0,0.217288910406205,1,0,0,0
3.64,0.382091045522761,0,0.217510405057988,1,0,0,0
3.65,0.382591295647824,0,0.217734382668812,1,0,0,0
3.66,0.383091545772886,0,0.217960865982178,1,0,0,0
3.67,0.383591795897949,0,0.218189877880974,1,0,0,0
3.68,0.384092046023012,0,0.218421441387407,1,0,0,0
3.69,0.384592296148074,0,0.21865557966293,1,0,0,0
3.7,0.385092546273137,0,0.21889231600815,1,0,0,0
3.71,0.385592796398199,0,0.219131673862715,1,0,0,0
3.72,0.386093046523262,0,0.2193736768052,1,0,0,0
3.73,0.386593296648324,0,0.219618348552964,1,0,0,0
3.74,0.387093546773387,0,0.219865712961994,1,0,0,0
3.75,0.387593796898449,0,0.220115794026741,1,0,0,0
3.76,0.388094047023512,0,0.22036861587993,1,0,0,0
3.77,0.388594297148574,0,0.220624202792361,1,0,0,0
3.78,0.389094547273637,0,0.220882579172687,1,0,0,0
3.79,0.389594797398699,0,0.221143769567181,1,0,0,0
3.8,0.390095047523762,0,0.221407798659484,1,0,0,0
3.81,0.390595297648824,0,0.221674691270338,1,0,0,0
3.82,0.391095547773887,0,0.221944472357295,1,0,0,0
3.83,0.391595797898949,0,0.222217167014418,1,0,0,0
3.84,0.392096048024012,0,0.222492800471959,1,0,0,0
3.85,0.392596298149075,0,0.222771398096021,1,0,0,0
3.86,0.393096548274137,0,0.223052985388199,1,0,0,0
3.87,0.3935967983992,0,0.223337587985208,1,0,0,0
3.88,0.394097048524262,0,0.223625231658491,1,0,0,0
3.89,0.394597298649325,0,0.223915942313804,1,0,0,0
3.9,0.395097548774387,0,0.224209745990791,1,0,0,0
3.91,0.39559779889945,0,0.224506668862533,1,0,0,0
3.92,0.396098049024512,0,0.22480673723508,1,0,0,0
3.93,0.396598299149575,0,0.225109977546966,1,0,0,0
3.94,0.397098549274637,0,0.225416416368702,1,0,0,0
3.95,0.3975987993997,0,0.225726080402252,1,0,0,0
3.96,0.398099049524762,0,0.226038996480489,1,0,0,0
3.97,0.398599299649825,0,0.226355191566625,1,0,0,0
3.98,0.399099549774887,0,0.226674692753633,1,0,0,0
3.99,0.39959979989995,0,0.226997527263638,1,0,0,0
4,0.400100050025012,0,0.227323722447293,1,0,0,0
4.01,0.400600300150075,0,0.227653305783132,1,0,0,0
4.02,0.401100550275138,0,0.227986304876908,1,0,0,0
4.03,0.4016008004002,0,0.228322747460899,1,0,0,0
4.04,0.402101050525263,0,0.228662661393205,1,0,0,0
4.05,0.402601300650325,0,0.229006074657017,1,0,0,0
4.06,0.403101550775388,0,0.229353015359866,1,0,0,0
4.07,0.40360180090045,0,0.22970351173285,1,0,0,0
4.08,0.404102051025513,0,0.230057592129842,1,0,0,0
4.09,0.404602301150575,0,0.230415285026671,1,0,0,0
4.1,0.405102551275638,0,0.230776619020291,1,0,0,0
4.11,0.4056028014007,0,0.23114162282791,1,0,0,0
4.12,0.406103051525763,0,0.231510325286119,1,0,0,0
4.13,0.406603301650825,0,0.231882755349981,1,0,0,0
4.14,0.407103551775888,0,0.232258942092103,1,0,0,0
4.15,0.40760380190095,0,0.23263891470169,1,0,0,0
4.16,0.408104052026013,0,0.23302270248357,1,0,0,0
4.17,0.408604302151076,0,0.233410334857194,1,0,0,0
4.18,0.409104552276138,0,0.233801841355624,1,0,0,0
4.19,0.409604802401201,0,0.234197251624483,1,0,0,0
4.2,0.410105052526263,0,0.234596595420892,1,0,0,0
4.21,0.410605302651326,0,0.234999902612381,1,0,0,0
4.22,0.411105552776388,0,0.235407203175771,1,0,0,0
4.23,0.411605802901451,0,0.235818527196041,1,0,0,0
4.24,0.412106053026513,0,0.236233904865161,1,0,0,0
4.25,0.412606303151576,0,0.236653366480908,1,0,0,0
4.26,0.413106553276638,0,0.237076942445656,1,0,0,0
4.27,0.413606803401701,0,0.23750466326514,1,0,0,0
4.28,0.414107053526763,0,0.237936559547194,1,0,0,0
4.29,0.414607303651826,0,0.238372662000469,1,0,0,0
4.3,0.415107553776888,0,0.238813001433122,1,0,0,0
4.31,0.415607803901951,0,0.23925760875148,1,0,0,0
4.32,0.416108054027014,0,0.239706514958682,1,0,0,0
4.33,0.416608304152076,0,0.240159751153293,1,0,0,0
4.34,0.417108554277139,0,0.240617348527892,1,0,0,0
4.35,0.417608804402201,0,0.241079338367635,1,0,0,0
4.36,0.418109054527264,0,0.241545752048796,1,0,0,0
4.37,0.418609304652326,0,0.242016621037277,1,0,0,0
4.38,0.419109554777389,0,0.242491976887093,1,0,0,0
4.39,0.419609804902451,0,0.242971851238836,1,0,0,0
4.4,0.420110055027514,0,0.243456275818102,1,0,0,0
4.41,0.420610305152576,0,0.243945282433908,1,0,0,0
4.42,0.421110555277639,0,0.244438902977064,1,0,0,0
4.43,0.421610805402701,0,0.244937169418536,1,0,0,0
4.44,0.422111055527764,0,0.245440113807769,1,0,0,0
4.45,0.422611305652826,0,0.245947768270989,1,0,0,0
4.46,0.423111555777889,0,0.246460165009482,1,0,0,0
4.47,0.423611805902951,0,0.246977336297836,1,0,0,0
4.48,0.424112056028014,0,0.24749931448217,1,0,0,0
4.49,0.424612306153077,0,0.248026131978319,1,0,0,0
4.5,0.425112556278139,0,0.24855782127001,1,0,0,0
4.51,0.425612806403202,0,0.249094414906994,1,0,0,0
4.52,0.426113056528264,0,0.249635945503165,1,0,0,0
4.53,0.426613306653327,0,0.250182445734641,1,0,0,0
4.54,0.427113556778389,0,0.250733948337824,1,0,0,0
4.55,0.427613806903452,0,0.251290486107431,1,0,0,0
4.56,0.428114057028514,0,0.251852091894495,1,0,0,0
4.57,0.428614307153577,0,0.252418798604342,1,0,0,0
4.58,0.429114557278639,0,0.252990639194536,1,0,0,0
4.59,0.429614807403702,0,0.253567646672804,1,0,0,0
4.6,0.430115057528764,0,0.254149854094924,1,0,0,0
4.61,0.430615307653827,0,0.25473729456259,1,0,0,0
4.62,0.431115557778889,0,0.25533000122125,1,0,0,0
4.63,0.431615807903952,0,0.255928007257914,1,0,0,0
4.64,0.432116058029015,0,0.256531345898935,1,0,0,0
4.65,0.432616308154077,0,0.257140050407759,1,0,0,0
4.66,0.43311655827914,0,0.257754154082657,1,0,0,0
4.67,0.433616808404202,0,0.258373690254414,1,0,0,0
4.68,0.434117058529265,0,0.258998692284001,1,0,0,0
4.69,0.434617308654327,0,0.259629193560217,1,0,0,0
4.7,0.43511755877939,0,0.260265227497299,1,0,0,0
4.71,0.435617808904452,0,0.260906827532507,1,0,0,0
4.72,0.436118059029515,0,0.261554027123684,1,0,0,0
4.73,0.436618309154577,0,0.262206859746778,1,0,0,0
4.74,0.43711855927964,0,0.262865358893348,1,0,0,0
4.75,0.437618809404702,0,0.263529558068033,1,0,0,0
4.76,0.438119059529765,0,0.264199490785995,1,0,0,0
4.77,0.438619309654827,0,0.264875190570338,1,0,0,0
4.78,0.43911955977989,0,0.265556690949495,1,0,0,0
4.79,0.439619809904952,0,0.266244025454586,1,0,0,0
4.8,0.440120060030015,0,0.26693722761675,1,0,0,0
4.81,0.440620310155078,0,0.267636330964451,1,0,0,0
4.82,0.44112056028014,0,0.268341369020752,1,0,0,0
4.83,0.441620810405203,0,0.269052375300562,1,0,0,0
4.84,0.442121060530265,0,0.269769383307858,1,0,0,0
4.85,0.442621310655328,0,0.270492426532875,1,0,0,0
4.86,0.44312156078039,0,0.271221538449273,1,0,0,0
4.87,0.443621810905453,0,0.27195675251127,1,0,0,0
4.88,0.444122061030515,0,0.272698102150754,1,0,0,0
4.89,0.444622311155578,0,0.273445620774361,1,0,0,0
4.9,0.44512256128064,0,0.274199341760533,1,0,0,0
4.91,0.445622811405703,0,0.274959298456539,1,0,0,0
4.92,0.446123061530765,0,0.275725524175477,1,0,0,0
4.93,0.446623311655828,0,0.276498052193245,1,0,0,0
4.94,0.44712356178089,0,0.277276915745486,1,0,0,0
4.95,0.447623811905953,0,0.278062148024502,1,0,0,0
4.96,0.448124062031016,0,0.278853782176145,1,0,0,0
4.97,0.448624312156078,0,0.279651851296682,1,0,0,0
4.98,0.449124562281141,0,0.280456388429629,1,0,0,0
4.99,0.449624812406203,0,0.281267426562563,1,0,0,0
5,0.450125062531266,0,0.282084998623899,1,0,0,0
5.01,0.450625312656328,0,0.282909137479652,1,0,0,0
5.02,0.451125562781391,0,0.283739875930166,1,0,0,0
5.03,0.451625812906453,0,0.284577246706813,1,0,0,0
5.04,0.452126063031516,0,0.285421282468675,1,0,0,0
5.05,0.452626313156578,0,0.286272015799195,1,0,0,0
5.06,0.453126563281641,0,0.287129479202801,1,0,0,0
5.07,0.453626813406703,0,0.287993705101503,1,0,0,0
5.08,0.454127063531766,0,0.288864725831475,1,0,0,0
5.09,0.454627313656828,0,0.289742573639598,1,0,0,0
5.1,0.455127563781891,0,0.290627280679984,1,0,0,0
5.11,0.455627813906954,0,0.291518879010477,1,0,0,0
5.12,0.456128064032016,0,0.292417400589125,1,0,0,0
5.13,0.456628314157079,0,0.293322877270629,1,0,0,0
5.14,0.457128564282141,0,0.29423534080277,1,0,0,0
5.15,0.457628814407204,0,0.295154822822806,1,0,0,0
5.16,0.458129064532266,0,0.296081354853849,1,0,0,0
5.17,0.458629314657329,0,0.297014968301217,1,0,0,0
5.18,0.459129564782391,0,0.297955694448767,1,0,0,0
5.19,0.459629814907454,0,0.29890356445519,1,0,0,0
5.2,0.460130065032516,0,0.299858609350303,1,0,0,0
5.21,0.460630315157579,0,0.300820860031302,1,0,0,0
5.22,0.461130565282641,0,0.301790347258998,1,0,0,0
5.23,0.461630815407704,0,0.302767101654032,1,0,0,0
5.24,0.462131065532766,0,0.303751153693065,1,0,0,0
5.25,0.462631315657829,0,0.304742533704945,1,0,0,0
5.26,0.463131565782891,0,0.305741271866856,1,0,0,0
5.27,0.463631815907954,0,0.306747398200443,1,0,0,0
5.28,0.464132066033017,0,0.307760942567914,1,0,0,0
5.29,0.464632316158079,0,0.308781934668125,1,0,0,0
5.3,0.465132566283142,0,0.309810404032639,1,0,0,0
5.31,0.465632816408204,0,0.310846380021771,1,0,0,0
5.32,0.466133066533267,0,0.311889891820605,1,0,0,0
5.33,0.466633316658329,0,0.312940968434999,1,0,0,0
5.34,0.467133566783392,0,0.313999638687564,1,0,0,0
5.35,0.467633816908454,0,0.315065931213625,1,0,0,0
5.36,0.468134067033517,0,0.316139874457168,1,0,0,0
5.37,0.468634317158579,0,0.317221496666761,1,0,0,0
5.38,0.469134567283642,0,0.31831082589146,1,0,0,0
5.39,0.469634817408704,0,0.319407889976696,1,0,0,0
5.4,0.470135067533767,0,0.320512716560149,1,0,0,0
5.41,0.470635317658829,0,0.321625333067596,1,0,0,0
5.42,0.471135567783892,0,0.322745766708745,1,0,0,0
5.43,0.471635817908954,0,0.32387404447306,1,0,0,0
5.44,0.472136068034017,0,0.325010193125556,1,0,0,0
5.45,0.47263631815908,0,0.32615423920259,1,0,0,0
5.46,0.473136568284142,0,0.327306209007626,1,0,0,0
5.47,0.473636818409205,0,0.328466128606997,1,0,0,0
5.48,0.474137068534267,0,0.329634023825637,1,0,0,0
5.49,0.47463731865933,0,0.330809920242813,1,0,0,0
5.5,0.475137568784392,0,0.33199384318783,1,0,0,0
5.51,0.475637818909455,0,0.333185817735734,1,0,0,0
5.52,0.476138069034517,0,0.334385868702991,1,0,0,0
5.53,0.47663831915958,0,0.33559402064316,1,0,0,0
5.54,0.477138569284642,0,0.33681029784255,1,0,0,0
5.55,0.477638819409705,0,0.338034724315869,1,0,0,0
5.56,0.478139069534767,0,0.339267323801853,1,0,0,0
5.57,0.47863931965983,0,0.34050811975889,1,0,0,0
5.58,0.479139569784892,0,0.341757135360636,1,0,0,0
5.59,0.479639819909955,0,0.34301439349161,1,0,0,0
5.6,0.480140070035018,0,0.344279916742788,1,0,0,0
5.61,0.48064032016008,0,0.345553727407185,1,0,0,0
5.62,0.481140570285143,0,0.346835847475425,1,0,0,0
5.63,0.481640820410205,0,0.348126298631305,1,0,0,0
